"DateTime","Players"
"2020-12-24 00:00:00",2154
"2021-01-07 00:00:00",1697
"2021-01-21 00:00:00",1764
"2021-02-04 00:00:00",1890
"2021-02-18 00:00:00",1694
"2021-03-04 00:00:00",1615
"2021-03-18 00:00:00",1541
"2021-04-01 00:00:00",1783
"2021-04-15 00:00:00",3044
"2021-04-29 00:00:00",2192
"2021-05-13 00:00:00",1822
"2021-05-27 00:00:00",1914
"2021-06-10 00:00:00",1719
"2021-06-24 00:00:00",1768
"2021-07-08 00:00:00",1648
"2021-07-22 00:00:00",1529
"2021-08-05 00:00:00",1455
"2021-08-19 00:00:00",1523
"2021-09-02 00:00:00",1487
"2021-09-16 00:00:00",1633
"2021-09-30 00:00:00",1515
"2021-10-14 00:00:00",1646
"2021-10-28 00:00:00",2036
"2021-11-11 00:00:00",1505
"2021-11-25 00:00:00",1793
"2021-12-09 00:00:00",1471
"2021-12-23 00:00:00",2050
"2022-01-06 00:00:00",1955
"2022-01-20 00:00:00",2177
"2022-02-03 00:00:00",1914
"2022-02-17 00:00:00",2112
"2022-03-03 00:00:00",2465
"2022-03-17 00:00:00",3328
"2022-03-31 00:00:00",3216
"2022-04-14 00:00:00",2160
"2022-04-28 00:00:00",1911
"2022-05-12 00:00:00",2422
"2022-05-26 00:00:00",2212
"2022-06-09 00:00:00",2349
"2022-06-23 00:00:00",2521
"2022-07-07 00:00:00",2105
"2022-07-21 00:00:00",2067
"2022-08-04 00:00:00",1812
"2022-08-18 00:00:00",2100
"2022-09-01 00:00:00",2247
"2022-09-15 00:00:00",2103
"2022-09-29 00:00:00",2438
"2022-10-13 00:00:00",1892
"2022-10-27 00:00:00",2227
"2022-11-10 00:00:00",1938
"2022-11-24 00:00:00",2086
"2022-12-08 00:00:00",2016
